gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,some college,free/reduced,none,64,92,65
female,group E,high school,free/reduced,completed,60,72,82
female,group B,some college,free/reduced,completed,46,55,61
male,group C,some high school,standard,none,76,83,49
female,group D,associate's degree,standard,completed,62,74,81
male,group E,bachelor's degree,free/reduced,none,66,53,59
male,group D,high school,standard,none,57,47,53
male,group A,master's degree,free/reduced,completed,73,55,100
female,group B,associate's degree,standard,completed,69,81,65
male,group D,bachelor's degree,standard,none,84,65,75
female,group C,bachelor's degree,standard,none,73,70,68
male,group C,high school,standard,none,63,50,55
female,group E,associate's degree,standard,completed,55,81,78
male,group D,associate's degree,free/reduced,none,79,41,73
female,group D,high school,standard,none,62,60,58
male,group D,high school,standard,none,63,75,74
female,group E,some college,free/reduced,none,63,53,60
female,group D,master's degree,free/reduced,completed,60,78,51
male,group C,some high school,standard,none,64,57,50
female,group C,high school,free/reduced,completed,95,52,72
male,group B,associate's degree,standard,none,50,87,62
male,group B,some college,standard,completed,54,71,91
male,group C,some college,standard,none,87,76,67
male,group B,high school,free/reduced,none,60,83,56
male,group C,some high school,free/reduced,none,59,32,70
male,group C,high school,standard,none,82,78,49
male,group D,high school,free/reduced,none,45,58,67
female,group B,high school,standard,completed,78,60,73
male,group A,some college,standard,completed,67,75,71
female,group E,associate's degree,standard,none,73,64,88
female,group E,some college,standard,none,73,77,100
female,group C,some college,standard,none,57,68,78
female,group C,some high school,standard,none,82,71,86
female,group B,associate's degree,free/reduced,completed,58,62,100
male,group B,associate's degree,standard,completed,72,54,53
female,group C,some college,standard,none,85,59,70
female,group E,some college,standard,none,87,68,61
female,group A,some college,standard,none,62,95,81
female,group C,some college,standard,completed,73,90,72
male,group B,high school,free/reduced,none,61,60,56
male,group B,some college,standard,completed,100,70,68
female,group A,high school,free/reduced,completed,78,65,84
male,group D,bachelor's degree,free/reduced,none,67,71,48
female,group D,some college,standard,completed,71,73,56
male,group B,some college,free/reduced,none,72,76,54
male,group D,associate's degree,standard,completed,73,28,73
female,group E,high school,standard,none,62,74,87
female,group B,associate's degree,standard,none,60,63,38
female,group C,associate's degree,standard,completed,64,59,69
male,group D,high school,standard,completed,49,80,54
male,group C,bachelor's degree,standard,completed,77,90,83
male,group C,some college,standard,none,54,79,64
male,group C,high school,standard,completed,50,62,70
male,group D,associate's degree,standard,none,66,54,68
female,group B,some college,free/reduced,completed,64,27,85
female,group E,some high school,free/reduced,none,70,72,99
female,group B,high school,standard,completed,57,77,51
female,group C,some college,standard,completed,60,68,54
female,group E,high school,free/reduced,completed,76,82,73
male,group B,associate's degree,free/reduced,none,75,51,56
female,group C,master's degree,free/reduced,none,75,67,82
female,group C,master's degree,standard,completed,67,65,84
male,group B,some college,standard,none,69,67,60
male,group B,associate's degree,standard,completed,69,85,57
male,group D,associate's degree,standard,none,56,68,64
male,group D,some high school,free/reduced,none,88,65,70
male,group D,high school,free/reduced,completed,86,56,73
female,group D,bachelor's degree,standard,none,78,88,34
male,group C,high school,free/reduced,none,60,49,53
female,group C,some college,standard,none,74,61,62
male,group C,associate's degree,standard,none,81,93,56
female,group B,high school,standard,completed,48,76,25
female,group C,some college,free/reduced,none,91,69,40
male,group C,associate's degree,standard,completed,40,69,48
male,group B,some college,free/reduced,completed,77,56,66
male,group C,bachelor's degree,free/reduced,none,88,68,61
female,group E,master's degree,standard,completed,64,64,59
male,group D,master's degree,standard,none,64,72,80
female,group C,some high school,free/reduced,none,76,48,80
male,group B,associate's degree,standard,completed,94,75,70
male,group C,some college,free/reduced,none,62,83,70
female,group E,associate's degree,free/reduced,none,54,66,55
male,group B,bachelor's degree,standard,none,60,78,57
male,group B,some high school,standard,none,43,73,42
female,group C,high school,free/reduced,none,79,60,64
male,group E,high school,free/reduced,completed,58,54,80
female,group C,some college,standard,none,63,56,88
male,group C,associate's degree,standard,none,80,73,64
female,group E,associate's degree,standard,none,60,68,75
male,group B,some high school,free/reduced,none,77,87,25
male,group C,bachelor's degree,free/reduced,none,50,80,62
female,group D,some college,free/reduced,none,80,80,61
male,group A,some high school,standard,none,71,73,90
female,group B,associate's degree,standard,none,65,56,74
male,group D,master's degree,free/reduced,none,68,74,75
female,group D,some college,standard,none,47,70,75
female,group D,some high school,standard,completed,68,53,69
female,group D,bachelor's degree,standard,completed,64,86,91
male,group B,high school,free/reduced,none,47,84,33
female,group C,high school,free/reduced,completed,56,53,70
female,group C,some college,standard,completed,64,60,85
female,group B,high school,standard,none,57,61,40
female,group C,bachelor's degree,standard,none,30,78,81
female,group D,some college,free/reduced,completed,82,76,57
male,group C,high school,standard,completed,64,70,70
female,group B,some high school,standard,none,32,73,56
female,group D,associate's degree,standard,completed,98,51,82
female,group E,associate's degree,free/reduced,none,85,74,64
female,group D,some college,standard,completed,61,68,81
female,group D,bachelor's degree,standard,completed,53,59,75
female,group A,bachelor's degree,standard,none,72,48,56
female,group C,some college,free/reduced,completed,69,69,76
male,group E,some college,standard,none,74,74,58
male,group A,master's degree,free/reduced,completed,53,45,69
male,group C,master's degree,standard,completed,82,69,63
female,group B,some college,standard,none,59,71,81
female,group D,associate's degree,standard,completed,76,61,76
male,group E,some high school,free/reduced,none,54,74,68
male,group B,some college,standard,completed,100,67,58
male,group B,some high school,free/reduced,none,76,73,49
female,group C,some high school,free/reduced,completed,100,76,70
male,group C,some college,free/reduced,none,78,76,59
female,group A,high school,free/reduced,none,58,83,40
female,group C,associate's degree,free/reduced,none,78,74,48
female,group C,associate's degree,standard,completed,80,62,92
female,group C,master's degree,standard,completed,72,60,58
male,group E,associate's degree,free/reduced,completed,75,54,84
male,group E,master's degree,standard,completed,77,71,63
female,group D,associate's degree,free/reduced,completed,51,87,87
male,group C,high school,free/reduced,none,50,64,86
female,group D,high school,standard,none,54,75,56
female,group D,associate's degree,free/reduced,none,68,58,38
female,group E,high school,standard,completed,63,72,39
male,group B,some college,standard,completed,51,87,56
female,group C,some college,standard,none,78,79,96
male,group C,high school,standard,completed,70,47,62
female,group D,some college,free/reduced,completed,69,77,70
female,group E,bachelor's degree,free/reduced,none,62,78,88
male,group A,some college,free/reduced,none,60,71,70
female,group A,some college,standard,none,53,78,69
male,group A,some high school,standard,none,80,57,77
male,group D,associate's degree,free/reduced,completed,55,70,72
male,group A,some high school,standard,none,69,85,67
female,group C,associate's degree,free/reduced,none,91,83,57
female,group C,associate's degree,free/reduced,completed,61,77,69
female,group C,some college,free/reduced,completed,80,57,84
male,group C,associate's degree,free/reduced,completed,75,54,95
female,group B,some college,standard,none,71,71,72
female,group B,some high school,free/reduced,none,72,72,79
female,group D,some high school,standard,completed,65,68,72
male,group D,some college,free/reduced,none,67,58,67
male,group C,some high school,standard,none,58,75,76
male,group E,some high school,free/reduced,none,67,71,86
female,group D,high school,free/reduced,none,57,73,55
female,group C,some college,standard,none,81,77,46
female,group A,associate's degree,standard,none,41,65,60
female,group C,associate's degree,free/reduced,none,73,62,71
male,group E,some college,standard,none,71,85,81
female,group D,bachelor's degree,standard,none,70,58,53
female,group B,high school,standard,none,81,62,31
female,group B,some college,standard,completed,62,86,60
male,group B,associate's degree,free/reduced,none,70,61,65
female,group E,some high school,standard,none,40,68,51
female,group D,some high school,standard,none,60,63,57
female,group C,some college,standard,none,79,44,81
male,group D,some high school,standard,none,46,67,69
male,group A,bachelor's degree,standard,none,68,55,73
female,group C,bachelor's degree,standard,completed,56,73,63
male,group C,associate's degree,standard,none,64,84,57
male,group A,master's degree,standard,none,57,38,63
male,group B,master's degree,free/reduced,completed,47,63,75
male,group C,associate's degree,standard,none,72,75,46
male,group C,some college,standard,none,65,38,93
male,group D,some college,standard,none,75,88,77
male,group B,associate's degree,standard,completed,78,74,60
female,group D,high school,free/reduced,none,84,84,80
female,group E,associate's degree,standard,none,68,61,86
female,group A,some college,free/reduced,none,85,63,63
female,group E,associate's degree,free/reduced,completed,51,67,65
male,group E,some college,standard,none,80,99,90
female,group C,bachelor's degree,free/reduced,completed,73,87,100
female,group C,high school,standard,none,69,71,68
female,group A,some college,standard,completed,73,73,51
female,group B,some college,standard,completed,52,78,61
male,group B,high school,standard,none,48,100,83
male,group D,associate's degree,free/reduced,none,92,74,53
female,group C,high school,free/reduced,none,63,70,65
female,group C,some college,free/reduced,none,63,64,72
female,group D,some college,standard,completed,49,72,54
male,group D,some college,standard,none,44,61,84
female,group A,some college,standard,none,65,76,78
male,group B,high school,free/reduced,none,61,49,98
female,group C,some high school,standard,completed,66,65,80
male,group D,high school,free/reduced,none,67,79,54
male,group D,high school,standard,none,100,74,76
female,group D,associate's degree,standard,none,61,63,83
female,group D,high school,free/reduced,completed,90,66,84
male,group C,master's degree,standard,completed,91,83,56
male,group B,associate's degree,standard,none,77,52,55
male,group B,associate's degree,free/reduced,none,62,52,51
male,group D,some college,standard,none,46,56,92
female,group B,master's degree,free/reduced,none,73,69,77
female,group A,some high school,standard,completed,81,50,56
female,group C,some college,free/reduced,completed,92,82,70
female,group B,some college,free/reduced,none,52,56,66
female,group C,associate's degree,standard,completed,62,72,53
female,group D,high school,standard,none,52,61,69
male,group C,associate's degree,free/reduced,completed,56,68,71
male,group B,high school,standard,completed,76,47,97
female,group D,some college,free/reduced,none,56,83,58
male,group C,associate's degree,standard,completed,54,56,42
female,group D,some college,standard,none,78,54,52
female,group D,some high school,free/reduced,none,73,100,55
male,group D,high school,free/reduced,none,71,77,62
female,group D,some college,standard,none,56,82,52
female,group D,bachelor's degree,free/reduced,completed,85,75,80
female,group D,bachelor's degree,standard,completed,66,63,51
female,group C,master's degree,standard,none,100,51,68
female,group C,some college,free/reduced,completed,68,65,98
female,group C,high school,free/reduced,completed,31,55,76
female,group A,associate's degree,free/reduced,none,30,56,75
female,group C,some college,standard,none,75,47,96
male,group B,some college,standard,none,86,71,87
female,group D,some college,standard,completed,54,91,76
female,group D,some high school,standard,completed,98,77,63
female,group C,some college,standard,none,91,68,68
female,group B,high school,free/reduced,completed,69,68,67
male,group C,high school,standard,none,74,26,62
female,group C,associate's degree,free/reduced,none,79,63,71
female,group D,some high school,free/reduced,none,94,49,73
male,group D,master's degree,standard,none,76,71,49
female,group C,some high school,free/reduced,none,69,65,92
male,group D,some college,free/reduced,none,76,57,74
female,group C,bachelor's degree,standard,none,74,71,64
female,group A,high school,standard,none,80,70,71
female,group B,some high school,standard,none,42,90,82
male,group B,high school,standard,completed,71,79,46
female,group C,bachelor's degree,free/reduced,none,73,72,66
female,group D,some college,standard,completed,65,56,50
male,group A,some high school,free/reduced,none,78,54,100
male,group B,some college,free/reduced,none,95,77,70
female,group C,high school,standard,completed,68,66,50
female,group C,some high school,free/reduced,none,76,72,100
male,group D,associate's degree,standard,none,90,83,60
female,group A,master's degree,standard,completed,68,48,65
female,group D,associate's degree,free/reduced,none,53,89,66
male,group E,some college,standard,none,75,83,55
female,group C,some high school,standard,none,33,40,72
female,group C,associate's degree,standard,none,32,100,35
male,group B,some high school,standard,none,71,73,84
male,group E,bachelor's degree,free/reduced,none,31,62,51
female,group C,some high school,standard,completed,46,76,62
female,group B,associate's degree,standard,completed,60,55,79
male,group C,bachelor's degree,standard,completed,55,77,65
female,group B,bachelor's degree,free/reduced,none,64,58,66
male,group B,high school,standard,completed,83,97,53
female,group C,high school,standard,none,70,70,99
female,group C,high school,standard,completed,53,78,76
female,group A,bachelor's degree,standard,completed,86,58,52
male,group E,bachelor's degree,free/reduced,completed,45,80,71
male,group D,associate's degree,free/reduced,none,69,69,51
female,group D,master's degree,standard,none,43,49,94
female,group D,associate's degree,free/reduced,none,70,66,71
male,group B,some high school,standard,completed,61,96,53
male,group C,some high school,free/reduced,none,82,81,78
male,group B,some high school,free/reduced,completed,77,64,64
male,group C,high school,standard,none,57,43,49
male,group C,master's degree,free/reduced,none,54,57,74
female,group E,associate's degree,free/reduced,none,61,49,73
female,group C,associate's degree,standard,none,94,43,85
female,group C,some high school,standard,none,90,80,69
female,group D,bachelor's degree,standard,none,51,70,70
male,group C,associate's degree,free/reduced,completed,78,94,70
male,group D,bachelor's degree,free/reduced,none,40,55,92
female,group C,associate's degree,free/reduced,none,59,69,63
male,group D,some high school,free/reduced,completed,52,49,75
male,group A,high school,standard,completed,82,61,77
male,group B,some college,free/reduced,completed,47,66,73
male,group A,some high school,free/reduced,none,72,64,63
male,group C,high school,standard,completed,66,70,70
female,group D,bachelor's degree,standard,completed,63,83,67
female,group C,some college,free/reduced,none,91,81,97
male,group D,some college,standard,none,92,58,61
female,group D,bachelor's degree,free/reduced,none,64,69,54
male,group E,some high school,standard,none,61,80,68
female,group B,associate's degree,standard,completed,43,84,67
female,group C,some high school,free/reduced,none,66,60,71
female,group B,some college,standard,completed,95,79,61
female,group B,some college,standard,none,64,74,70
male,group C,associate's degree,standard,none,77,54,70
female,group D,bachelor's degree,free/reduced,none,45,80,82
female,group D,associate's degree,standard,none,59,71,69
female,group E,some high school,free/reduced,completed,73,45,70
female,group B,associate's degree,standard,completed,68,65,76
female,group E,associate's degree,free/reduced,none,78,70,81
female,group C,some college,free/reduced,none,57,61,53
female,group B,bachelor's degree,standard,none,40,86,49
female,group C,bachelor's degree,standard,completed,83,87,93
female,group D,associate's degree,standard,none,52,64,79
male,group D,bachelor's degree,standard,none,74,62,65
male,group C,master's degree,standard,none,73,67,68
female,group D,associate's degree,standard,completed,41,66,62
male,group A,master's degree,standard,none,82,61,71
male,group D,some college,standard,none,58,17,53
male,group B,some college,standard,completed,67,94,81
male,group A,some high school,standard,none,61,69,71
male,group B,high school,free/reduced,none,90,67,71
male,group C,associate's degree,standard,completed,86,74,55
female,group D,bachelor's degree,standard,completed,39,68,76
male,group C,some high school,standard,none,100,63,55
male,group A,high school,free/reduced,none,56,55,58
male,group D,some college,free/reduced,none,98,43,69
male,group C,some high school,free/reduced,completed,62,50,100
female,group E,some college,free/reduced,none,61,53,71
female,group E,associate's degree,standard,completed,62,78,29
female,group C,high school,free/reduced,completed,60,79,58
male,group E,some college,free/reduced,none,100,57,78
male,group E,some high school,standard,completed,65,32,51
male,group D,high school,free/reduced,completed,61,69,80
female,group C,associate's degree,standard,none,67,63,70
female,group D,some college,free/reduced,none,51,63,83
female,group E,bachelor's degree,standard,none,90,82,60
female,group D,some college,standard,completed,44,71,58
male,group B,high school,free/reduced,completed,57,55,76
male,group D,some college,standard,none,80,52,68
female,group C,associate's degree,standard,completed,67,65,67
female,group E,high school,standard,none,74,56,92
female,group D,bachelor's degree,free/reduced,none,89,68,77
female,group C,high school,standard,none,81,83,38
male,group C,bachelor's degree,standard,none,68,50,80
female,group C,some high school,free/reduced,none,97,70,78
female,group C,associate's degree,free/reduced,none,57,82,86
female,group B,some college,standard,none,64,68,54
male,group C,some college,free/reduced,completed,66,79,73
female,group D,associate's degree,free/reduced,none,64,65,70
female,group C,high school,free/reduced,none,50,71,54
male,group C,high school,standard,none,42,75,82
male,group E,associate's degree,standard,completed,72,61,64
male,group D,bachelor's degree,standard,none,56,97,85
male,group D,some college,standard,none,95,77,57
male,group E,bachelor's degree,standard,completed,65,87,46
male,group B,associate's degree,standard,none,62,84,64
female,group D,some high school,standard,none,82,74,71
female,group A,associate's degree,standard,completed,72,88,60
female,group D,some college,standard,none,63,72,22
male,group C,associate's degree,free/reduced,none,56,59,74
female,group A,high school,standard,none,100,69,74
female,group C,high school,standard,none,71,55,78
female,group C,some high school,free/reduced,none,82,40,62
female,group D,some college,standard,none,51,57,61
female,group C,some college,free/reduced,none,57,70,90
male,group D,some high school,free/reduced,none,98,84,44
male,group B,high school,standard,completed,87,57,64
male,group C,some college,free/reduced,none,73,83,70
female,group D,high school,standard,none,60,52,77
female,group C,high school,standard,completed,62,56,71
female,group C,associate's degree,standard,completed,56,89,54
female,group B,high school,standard,none,49,70,86
female,group B,master's degree,free/reduced,completed,80,67,68
male,group E,associate's degree,standard,none,74,72,43
male,group B,associate's degree,standard,none,77,52,71
male,group C,some high school,standard,completed,61,64,75
female,group C,some high school,standard,none,70,69,97
female,group C,some high school,standard,none,60,86,74
male,group C,bachelor's degree,standard,none,55,46,46
male,group D,high school,free/reduced,none,91,94,46
male,group D,high school,standard,none,68,67,87
male,group D,high school,standard,completed,74,53,56
female,group C,high school,standard,none,79,51,45
male,group E,some high school,standard,completed,68,73,83
male,group D,associate's degree,free/reduced,none,70,50,61
female,group D,associate's degree,standard,completed,50,61,82
male,group C,some college,standard,completed,53,66,54
female,group B,master's degree,standard,completed,52,85,90
female,group D,high school,free/reduced,none,75,83,81
female,group B,high school,standard,none,67,60,57
male,group C,some college,standard,none,53,66,43
female,group B,some college,free/reduced,completed,75,47,100
female,group C,high school,standard,completed,74,40,65
male,group E,bachelor's degree,free/reduced,none,56,52,57
female,group C,some college,free/reduced,none,66,85,89
female,group C,bachelor's degree,standard,none,74,80,82
male,group C,some college,standard,none,53,74,86
male,group C,some college,standard,none,74,49,67
female,group D,master's degree,standard,completed,71,59,96
female,group C,master's degree,free/reduced,completed,51,57,48
male,group D,some high school,standard,none,69,67,60
male,group C,associate's degree,standard,none,71,66,74
female,group E,high school,free/reduced,none,57,55,86
male,group C,bachelor's degree,standard,none,58,74,78
female,group C,some college,standard,none,51,72,67
male,group D,high school,standard,none,59,59,61
female,group B,bachelor's degree,standard,completed,66,73,86
male,group B,associate's degree,free/reduced,none,58,85,79
female,group C,associate's degree,standard,none,44,89,55
male,group D,associate's degree,standard,completed,56,76,54
female,group B,bachelor's degree,standard,completed,60,75,60
female,group B,some college,standard,none,78,66,58
female,group E,high school,standard,none,75,83,83
male,group D,some college,standard,none,79,54,75
female,group B,high school,standard,completed,55,82,76
female,group C,high school,free/reduced,completed,68,65,71
female,group D,some high school,standard,completed,30,90,72
female,group E,some college,standard,none,72,77,44
female,group C,some high school,standard,completed,75,68,80
female,group B,associate's degree,free/reduced,none,61,66,60
male,group E,master's degree,free/reduced,none,70,76,68
female,group C,some college,standard,none,43,76,61
male,group D,high school,free/reduced,none,54,63,70
male,group C,some college,standard,none,77,70,77
female,group C,master's degree,standard,completed,74,82,53
female,group D,bachelor's degree,standard,completed,60,50,72
female,group B,high school,standard,none,78,79,61
male,group A,high school,free/reduced,none,68,76,88
female,group E,high school,standard,none,58,86,51
male,group A,some college,standard,none,63,59,53
male,group D,some college,free/reduced,none,59,69,63
female,group E,high school,standard,completed,48,72,54
female,group C,associate's degree,standard,none,85,79,65
female,group C,some college,standard,none,57,75,60
female,group D,high school,standard,none,54,52,69
female,group E,some high school,standard,completed,43,73,83
male,group C,high school,free/reduced,completed,26,97,69
male,group D,high school,standard,completed,77,78,70
male,group B,some high school,standard,completed,78,92,52
female,group C,some college,free/reduced,none,84,84,66
female,group C,associate's degree,free/reduced,none,64,88,62
male,group A,some high school,standard,completed,61,73,78
female,group C,some college,standard,none,58,76,57
female,group E,high school,standard,none,60,73,55
male,group E,associate's degree,standard,none,83,69,73
female,group A,associate's degree,standard,none,66,79,98
female,group C,high school,standard,none,72,62,65
male,group C,some high school,free/reduced,none,59,95,71
female,group E,high school,standard,completed,86,56,82
female,group C,bachelor's degree,free/reduced,none,37,80,76
male,group A,some high school,standard,none,48,88,76
female,group B,some college,free/reduced,none,72,67,67
female,group C,master's degree,standard,none,92,53,67
female,group B,associate's degree,free/reduced,none,63,85,57
male,group E,associate's degree,standard,none,53,72,75
female,group D,associate's degree,standard,none,81,80,75
female,group E,some high school,standard,none,71,67,79
male,group B,high school,free/reduced,none,85,93,61
male,group D,high school,standard,none,47,39,80
male,group C,bachelor's degree,standard,none,84,74,85
female,group B,some high school,standard,none,43,88,50
male,group E,some high school,standard,none,62,70,64
male,group E,high school,standard,none,72,73,86
female,group E,bachelor's degree,standard,none,69,63,58
female,group A,bachelor's degree,free/reduced,none,82,69,76
female,group B,some college,free/reduced,none,39,46,68
male,group E,some college,free/reduced,completed,68,59,73
male,group D,master's degree,standard,completed,84,58,69
male,group A,some high school,free/reduced,completed,67,78,79
male,group D,associate's degree,free/reduced,completed,49,61,53
female,group C,bachelor's degree,free/reduced,none,81,61,54
female,group B,some college,standard,completed,56,64,90
male,group D,bachelor's degree,standard,none,54,59,100
male,group C,bachelor's degree,free/reduced,none,52,73,68
male,group C,some college,standard,none,63,74,94
female,group C,some college,standard,none,69,81,56
female,group D,high school,standard,completed,47,78,60
female,group E,some high school,free/reduced,none,50,77,90
female,group C,master's degree,free/reduced,completed,56,64,80
male,group E,associate's degree,free/reduced,none,52,63,92
male,group D,some high school,standard,none,67,57,75
female,group E,some college,standard,none,71,57,53
female,group C,some college,standard,none,69,72,71
male,group E,some high school,standard,completed,69,59,86
male,group C,bachelor's degree,standard,none,91,90,66
female,group D,associate's degree,standard,none,72,68,64
female,group B,associate's degree,standard,completed,78,90,75
male,group C,master's degree,standard,none,60,77,60
male,group B,some college,free/reduced,completed,80,58,72
male,group B,high school,standard,none,59,68,69
male,group D,bachelor's degree,free/reduced,none,72,46,61
male,group C,some college,standard,none,45,72,83
female,group D,high school,standard,none,68,59,78
male,group D,associate's degree,standard,none,51,53,63
female,group B,some college,standard,completed,80,90,68
male,group D,some high school,standard,completed,79,83,64
female,group D,master's degree,free/reduced,completed,59,83,58
male,group E,some high school,standard,none,97,80,43
female,group D,high school,standard,none,62,52,61
female,group E,associate's degree,standard,none,42,63,59
female,group C,associate's degree,free/reduced,none,54,64,70
female,group C,some high school,free/reduced,completed,50,45,75
male,group E,some college,free/reduced,none,72,61,56
male,group C,high school,standard,none,47,61,74
female,group C,some college,free/reduced,none,58,71,54
male,group B,some college,free/reduced,completed,71,100,66
female,group D,some college,standard,none,68,69,59
female,group E,some high school,free/reduced,none,66,71,79
male,group C,some high school,standard,none,68,65,70
